"scenario","label.i","label.j","corr"
"a_m1","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.996
"a_m1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.903
"a_m2","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.997
"a_m2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.901
"a_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.901
"a_m3_s1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.901
"a_m3_s2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.91
"a_m3_s3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.901
"a_m3_s4","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.902
"a_m3_s5","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.913
"a_m3_s6","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.913
"b_m1","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.993
"b_m1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.906
"b_m2","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.995
"b_m2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.911
"b_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.903
"b_m3_s1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.902
"b_m3_s3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.903
"b_m3_s4","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.909
"b_m3_s5","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.905
"b_m3_s6","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.905
"v1_ct","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.964
"v1_ct","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.942
"v1_m1","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.994
"v1_m1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.906
"v1_m2","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.995
"v1_m2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.913
"v1_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.902
"v1_m3_s1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.901
"v1_m3_s2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.902
"v1_m3_s3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.902
"v1_m3_s4","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.909
"v1_m3_s5","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.909
"v1_m3_s6","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.909
"v3_m1","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.904
"v3_m1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.903
"v3_m2","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.904
"v3_m3_s1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.911
"v3_m3_s2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.918
"v3_m3_s5","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.924
"v3_m3_s5","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.928
"v3_m3_s6","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.924
"v3_m3_s6","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.928
"v7_m2","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.997
"v7_m2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.919
"v7_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.919
"v7_m3_s1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.914
"v7_m3_s2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.936
"v7_m3_s3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.919
"v7_m3_s4","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.933
"v7_m3_s5","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.941
"v7_m3_s6","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.941
