"Scenario","Parameter","Estimate","SD","CV"
"a_m3","SSB_Initial",65.21,19.86,30.45
"a_m3","Bratio_2012",0.66,0.09,13.01
"a_m3","SSB_unfished",98.13,26.13,26.63
"b_m3","SSB_Initial",59.32,19.98,33.68
"b_m3","Bratio_2012",0.75,0.05,6.36
"b_m3","SSB_unfished",78.64,25.59,32.54
"v1_m3","SSB_Initial",55.69,20.07,36.04
"v1_m3","Bratio_2012",0.76,0.05,6.38
"v1_m3","SSB_unfished",73.54,25.45,34.61
"v3_m3","SSB_Initial",16.55,7.6,45.9
"v3_m3","Bratio_2012",0.27,0.14,53.11
"v3_m3","SSB_unfished",60.88,13.84,22.74
"v7_m3","SSB_Initial",27.84,5.49,19.71
"v7_m3","Bratio_2012",0.74,0.05,6.84
"v7_m3","SSB_unfished",37.67,7.56,20.07
