"Scenario","Parameter","Estimate","SD","CV","Gradient"
"a_m1","SR_LN(R0)",5.5,0.14,0.03," 3.4e-05"
"a_m1","InitF_seas_1_flt_1Commercial",0.28,0.09,0.32," 3.7e-05"
"a_m1","Size_DblN_peak_Commercial(1)",26.05,1.78,0.07," 1.1e-06"
"a_m1","Size_DblN_ascend_se_Commercial(1)",2.33,0.97,0.42,"-3.6e-07"
"a_m2","SR_LN(R0)",5.62,0.18,0.03," 6.3e-06"
"a_m2","InitF_seas_1_flt_1Commercial",0.21,0.08,0.38," 9.2e-06"
"a_m2","Size_DblN_peak_Commercial(1)",25.81,1.8,0.07,"-4.8e-07"
"a_m2","Size_DblN_ascend_se_Commercial(1)",2.24,0.99,0.44," 2.2e-07"
"a_m3","SR_LN(R0)",5.51,0.27,0.05,"-5.9e-06"
"a_m3","InitF_seas_1_flt_1Commercial",0.19,0.08,0.42," 2.5e-06"
"a_m3","Size_DblN_peak_Commercial(1)",25.85,1.79,0.07," 4.1e-06"
"a_m3","Size_DblN_ascend_se_Commercial(1)",2.25,0.98,0.44,"-4.0e-06"
"a_m3_s1","SR_LN(R0)",5.42,0.26,0.05,"-1.1e-05"
"a_m3_s1","InitF_seas_1_flt_1Commercial",0.21,0.08,0.38," 1.4e-05"
"a_m3_s1","Size_DblN_peak_Commercial(1)",25.72,1.82,0.07,"-2.4e-05"
"a_m3_s1","Size_DblN_ascend_se_Commercial(1)",2.21,1,0.45," 1.6e-05"
"a_m3_s2","SR_LN(R0)",4.11,0.14,0.03,"-6.0e-06"
"a_m3_s2","InitF_seas_1_flt_1Commercial",0.28,0.1,0.36," 4.4e-06"
"a_m3_s2","Size_DblN_peak_Commercial(1)",26.47,1.67,0.06," 1.5e-05"
"a_m3_s2","Size_DblN_ascend_se_Commercial(1)",2.41,0.89,0.37,"-1.1e-05"
"a_m3_s3","SR_LN(R0)",5.51,0.27,0.05," 2.9e-09"
